company_name,stock_name,filing_time,new_product,product_description
Apple Inc.,AAPL,2025-01-30,Apple AirPods Pro (2nd Generation),Enhanced wireless earbuds with active noise cancellation and improved sound quality.
Apple Inc.,AAPL,2025-01-03,AirPods Pro (2nd Generation),Enhanced noise-cancellation and sound quality
Apple Inc.,AAPL,2024-10-31,Apple AirPods Pro (2nd Generation),Enhanced noise cancellation and design features.
MICROSOFT CORP,MSFT,2024-07-30,Major Product Releases,"Here are the major product releases and other highlights for the quarter, organized by product categories, to help illustrate how we are accelerating innovation across our busin..."
NVIDIA CORP,NVDA,2024-11-07,NVIDIA Ada Lovelace Architecture,A high-performance data center GPU architecture designed to accelerate AI computing and datacenter workloads
BERKSHIRE HATHAWAY INC,BRK-B,2024-08-05,Warren Buffett's New Berkshire Hathaway Product,A new insurance service
BERKSHIRE HATHAWAY INC,BRK-B,2024-05-07,Berkshire Hathaway Inc. to Acquire TransPerfect International,Deal worth $550 million
BERKSHIRE HATHAWAY INC,BRK-B,2024-04-26,Berkshire Hathaway Class A Shares,Stock of Warren Buffett's holding company.
BERKSHIRE HATHAWAY INC,BRK-B,2024-02-26,M1.300SeniorNotesDue2024,Senior Notes due 2024
BERKSHIRE HATHAWAY INC,BRK-B,2023-11-29,Smart Energy Hub,A smart home device that integrates energy management and automation.
ELI LILLY & Co,LLY,2025-02-06,A6.77NotesDueJanuary12036,6.77% Notes due January 2036
ELI LILLY & Co,LLY,2024-08-14,A718NotesDueJune12025,"Lly/A718 Notes Due June 12, 2025"
"Tesla, Inc.",TSLA,2024-10-23,Tesla Roadster 3.0,Second-generation electric sports car
"Tesla, Inc.",TSLA,2024-04-23,Production,"While many are pulling back on their investments, we are investing in future growth – including our AI infrastructure, production capacity, our Supercharger and service networks..."
VISA INC.,V,2024-07-10,VISA Paycheck,A digital wallet service that allows users to make payments and send money directly from their Visa card.
Walmart Inc.,WMT,2025-03-17,Walmart+ Service,"A membership program offering grocery pickup, free shipping, and other benefits to Walmart shoppers."
Walmart Inc.,WMT,2024-09-06,Walmart+,Enhanced grocery delivery and pickup service with free shipping on online orders.
Walmart Inc.,WMT,2024-08-15,Notes Due 2026 Member (A1050),A debt note with a specific maturity date.
Mastercard Inc,MA,2025-01-30,And Solutions,"Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greate..."
Mastercard Inc,MA,2024-10-31,And Solutions,"Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greate..."
PROCTER & GAMBLE Co,PG,2024-10-18,For Products,"Risks and uncertainties to which our forward-looking statements
              are subject include, without limitation: (1) the ability to successfully manage global financial ri..."
EXXON MOBIL CORP,XOM,2024-11-01,Proprietary Technology That,"• As part of its Carbon Materials Venture, ExxonMobil has developed proprietary technology that allows the company to produce feedstock for next-generation graphite at scale for..."
CHEVRON CORP,CVX,2024-11-01,Digital Solutions,• Announced the establishment of an engineering and innovation center in India to provide technical and digital solutions for the enterprise.
"Salesforce, Inc.",CRM,2024-12-03,Product Releases,"Product Releases and Enhancements Three times a year Salesforce delivers new product releases, services, or enhancements to current products and services."
BANK OF AMERICA CORP /DE/,BAC,2025-02-28,Series GG Preferred Stock,A type of preferred stock issued by Bank of America (BAC)
BANK OF AMERICA CORP /DE/,BAC,2025-02-07,Series GG Preferred Stock,A type of preferred stock issued by the company.
BANK OF AMERICA CORP /DE/,BAC,2025-01-16,Series GG Preferred Stock,A type of preferred stock issued by Bank of America.
BANK OF AMERICA CORP /DE/,BAC,2024-06-28,Series GG Preferred Stock,A type of preferred stock under the Bank of America's capital structure.
COCA COLA CO,KO,2024-10-23,A125NotesDue2029KO29AMember,"Notes due April 29, 2039"
COCA COLA CO,KO,2024-10-17,Nova Smartwatch,Next-gen smartwatch with advanced health monitoring and augmented reality features
COCA COLA CO,KO,2024-08-14,Sparkling Lemonade Mix,Limited edition flavor mix for Coca-Cola beverages
PFIZER INC,PFE,2024-12-17,New Products,"Food and Drug Administration or the European Medicines Agency, or obtain approval for new products and indications from regulators on a timely basis or at all; • regulatory deci..."
PFIZER INC,PFE,2024-10-29,Acquired Products,"Third-Quarter 2023) Third-quarter 2024 revenues totaled $17.7 billion, an increase of $4.2 billion, or 31%, compared to the prior-year quarter, reflecting an operational increas..."
PEPSICO INC,PEP,2025-02-07,ZeroPointFivePercentNotesDue2028,5% Notes due 2028
PEPSICO INC,PEP,2024-10-07,ZeroPointFivePercentNotesDue2028,Notes due in 2028 with a zero point five percent interest rate
PEPSICO INC,PEP,2024-07-10,ZeroPointEightSevenFivePercentNotesDue2028,0.0875% Notes Due 2028
PEPSICO INC,PEP,2024-05-03,ZeroPointEightSevenFivePercentNotesDue2028Member,Debt notes
ADVANCED MICRO DEVICES INC,AMD,2024-08-19,The Products,"“ Confidential Information ” shall mean (a) the terms and conditions and existence of this Agreement, the other
Transaction Documents and the transactions contemplated hereby an..."
THERMO FISHER SCIENTIFIC INC.,TMO,2025-02-25,Senior Notes 3200 Due 2026,A type of senior notes bond.
THERMO FISHER SCIENTIFIC INC.,TMO,2025-02-19,Thermoelectric Cooling System,A new thermoelectric cooling system for improved temperature control.
THERMO FISHER SCIENTIFIC INC.,TMO,2024-07-24,New Products,"• Advanced our proven growth strategy, launching a range of high-impact, innovative new products during the quarter."
